Object,Owner,Time,XPos,Ypos,ZPos,XRot,YRot,ZRot,Status
Square (1),0,14:01:44.1424360,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:44.2533530,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:44.3786620,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:44.4901100,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:44.6165660,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:44.7453090,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:44.8525940,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:44.9801430,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:45.0908890,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:45.2167390,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:45.3326780,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:45.4558440,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:45.5815960,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:45.6966390,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:45.8158940,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:45.9310920,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:46.0565690,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:46.1757140,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:46.2917730,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:46.4177590,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:46.5382950,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:46.6557740,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:46.7764620,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:46.8952390,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:47.0188210,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:47.1300330,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:47.2509790,0.7710223,-1.555851,1.88334,86.64317,15.35333,121.2572,Square (1)
Square (1),0,14:01:47.3794400,0.7352996,-1.533264,1.853486,77.52956,134.6033,209.1932,Square (1)
Square (1),0,14:01:47.5002270,0.722657,-1.440969,1.829797,70.2642,148.0187,213.7358,Square (1)
Square (1),0,14:01:47.6096890,0.7426126,-1.305786,1.817664,64.25688,152.2391,225.3633,Square (1)
Square (1),0,14:01:47.7361780,0.7697225,-1.147012,1.80445,57.73706,161.3476,252.0698,Square (1)
Square (1),0,14:01:47.8659690,0.7977851,-0.9605502,1.805741,47.18575,167.393,270.7225,Square (1)
Square (1),0,14:01:47.9788910,0.8306746,-0.7508032,1.832186,28.58789,167.9124,279.292,Square (1)
Square (1),0,14:01:48.0970920,0.9041281,-0.5528453,1.906022,9.426852,158.0496,287.1669,Square (1)
Square (1),0,14:01:48.2209420,0.9793268,-0.4332055,2.001806,357.9328,145.9788,296.9953,Square (1)
Square (1),0,14:01:48.3327570,1.047672,-0.3620106,2.110269,349.3778,133.7909,306.5613,Square (1)
Square (1),0,14:01:48.4593040,1.10482,-0.3458609,2.199484,347.0296,121.3374,308.853,Square (1)
Square (1),0,14:01:48.5696450,1.151625,-0.350692,2.262391,348.0824,112.9133,309.1861,Square (1)
Square (1),0,14:01:48.6943730,1.185897,-0.356456,2.308391,348.8866,107.4016,309.5929,Square (1)
Square (1),0,14:01:48.8193120,1.224505,-0.3831535,2.375598,351.7245,99.14246,312.1185,Square (1)
Square (1),0,14:01:48.9327160,1.271145,-0.4604713,2.465126,359.7918,90.76469,319.1818,Square (1)
Square (1),0,14:01:49.0607930,1.287559,-0.5240904,2.567604,4.447193,81.96548,324.8784,Square (1)
Square (1),0,14:01:49.1815010,1.290871,-0.5825645,2.646501,7.92621,75.2833,332.2672,Square (1)
Square (1),0,14:01:49.2931450,1.291011,-0.6226693,2.707038,11.14682,70.44423,338.879,Square (1)
Square (1),0,14:01:49.4222900,1.288939,-0.6110258,2.763349,10.33576,62.31077,334.6959,Square (1)
Square (1),0,14:01:49.5504930,1.28777,-0.589061,2.796983,8.121344,56.57387,331.3369,Square (1)
Square (1),0,14:01:49.6591750,1.294229,-0.5671132,2.8245,5.636579,53.52748,328.2504,Square (1)
Square (1),0,14:01:49.7855400,1.305713,-0.5549963,2.855904,5.205895,50.80061,326.8033,Square (1)
Square (1),0,14:01:49.8976160,1.319719,-0.5508383,2.876479,5.388999,48.81434,321.3409,Square (1)
Square (1),0,14:01:50.0092560,1.346932,-0.5615086,2.894117,6.501929,49.4696,317.6845,Square (1)
Square (1),0,14:01:50.1491090,1.363472,-0.5745391,2.913644,7.100308,49.99149,317.7334,Square (1)
Square (1),0,14:01:50.2579130,1.378906,-0.5915373,2.929688,8.41896,51.41029,319.7003,Square (1)
Square (1),0,14:01:50.3702720,1.388038,-0.6056189,2.947578,9.49368,51.73833,321.2632,Square (1)
Square (1),0,14:01:50.5054940,1.393489,-0.6248033,2.965348,10.67876,52.48438,325.4597,Square (1)
Square (1),0,14:01:50.6126670,1.396152,-0.6443537,2.977402,11.6999,53.62783,329.7909,Square (1)
Square (1),0,14:01:50.7449660,1.387368,-0.6606193,2.996095,12.89637,52.47761,332.4051,Square (1)
Square (1),0,14:01:50.8511720,1.379969,-0.6680303,3.010273,13.17917,51.57815,334.5457,Square (1)
Square (1),0,14:01:50.9840200,1.371483,-0.6698501,3.02404,12.92141,50.31126,336.3265,Square (1)
Square (1),0,14:01:51.0930920,1.364864,-0.6705073,3.032012,12.81147,49.33568,337.7365,Square (1)
Square (1),0,14:01:51.2249430,1.359974,-0.6716456,3.037581,13.15837,48.62127,338.5107,Square (1)
Square (1),0,14:01:51.3303420,1.357764,-0.6712666,3.040101,12.77733,48.56141,340.2401,Square (1)
Square (1),0,14:01:51.4626040,1.365254,-0.6572581,3.032887,10.53059,50.01394,343.4685,Square (1)
Square (1),0,14:01:51.5881460,1.370845,-0.6329847,3.003345,8.386631,51.62114,345.4807,Square (1)
Square (1),0,14:01:51.6990430,1.377885,-0.6286991,2.972769,7.598598,54.36532,348.9843,Square (1)
Square (1),0,14:01:51.8252830,1.390376,-0.6268906,2.934014,7.331467,57.96748,352.2118,Square (1)
Square (1),0,14:01:51.9362240,1.403964,-0.7025806,2.881568,7.331467,57.96748,352.2118,Square (1)
Square (1),0,14:01:52.0681280,1.415475,-0.8531227,2.83569,5.915173,58.32007,352.146,Square (1)
Square (1),0,14:01:52.1865210,1.413504,-0.8565557,2.832704,0.1830992,59.40421,1.035469,Square (1)
Square (1),0,14:01:52.2923510,1.413517,-0.8565571,2.832578,0.06128071,59.43552,0.7305468,Square (1)
Square (1),0,14:01:52.4250500,1.413526,-0.8565576,2.832578,0.07512362,59.43676,0.720169,Square (1)
Square (1),0,14:01:52.5383100,1.413525,-0.8565575,2.832578,0.07506617,59.43672,0.7207059,Square (1)
Square (1),0,14:01:52.6664730,1.413525,-0.8565575,2.832578,0.07506617,59.43672,0.7207059,Square (1)
Square (1),0,14:01:52.7778840,1.413525,-0.8565575,2.832578,0.07506617,59.43672,0.7207059,Square (1)
Square (1),0,14:01:52.9029580,1.413525,-0.8565575,2.832578,0.07506617,59.43672,0.7207059,Square (1)
Square (1),0,14:01:53.0133090,1.413525,-0.8565575,2.832578,0.07506617,59.43672,0.7207059,Square (1)
Square (1),0,14:01:53.1350060,1.413525,-0.8565575,2.832578,0.07506617,59.43672,0.7207059,Square (1)
Square (1),0,14:01:53.2604300,1.413525,-0.8565575,2.832578,0.07506617,59.43672,0.7207059,Square (1)
Square (1),0,14:01:53.3732000,1.413525,-0.8565575,2.832578,0.07506617,59.43672,0.7207059,Square (1)
Square (1),0,14:01:53.4967120,1.413525,-0.8565575,2.832578,0.07506617,59.43672,0.7207059,Square (1)
Square (1),0,14:01:53.6091040,1.413525,-0.8565575,2.832578,0.07506617,59.43672,0.7207059,Square (1)
Square (1),0,14:01:53.7493670,1.413525,-0.8565575,2.832578,0.07506617,59.43672,0.7207059,Square (1)
Square (1),0,14:01:53.8645400,1.413525,-0.8565575,2.832578,0.07506617,59.43672,0.7207059,Square (1)
Square (1),0,14:01:53.9746270,1.413525,-0.8565575,2.832578,0.07506617,59.43672,0.7207059,Square (1)
Square (1),0,14:01:54.1081940,1.413525,-0.8565575,2.832578,0.07506617,59.43672,0.7207059,Square (1)
Square (1),0,14:01:54.2176740,1.413525,-0.8565575,2.832578,0.07506617,59.43672,0.7207059,Square (1)
Square (1),0,14:01:54.3368140,1.413525,-0.8565575,2.832578,0.07506617,59.43672,0.7207059,Square (1)
Square (1),0,14:01:54.4616950,1.413509,-0.8565567,2.832573,0.1362264,59.48412,0.6927335,Square (1)
Square (1),0,14:01:54.5735520,1.413486,-0.8565564,2.832539,0.125822,59.52662,0.6078305,Square (1)
Square (1),0,14:01:54.7009700,1.413486,-0.8565565,2.83254,0.1272149,59.52651,0.609647,Square (1)
Square (1),0,14:01:54.8177860,1.413486,-0.8565565,2.83254,0.1272669,59.52639,0.6094981,Square (1)
Square (1),0,14:01:54.9502510,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
Square (1),0,14:01:55.0667380,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
Square (1),0,14:01:55.1732060,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
Square (1),0,14:01:55.3049640,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
Square (1),0,14:01:55.4159830,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
Square (1),0,14:01:55.5492740,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
Square (1),0,14:01:55.6632360,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
Square (1),0,14:01:55.7718160,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
Square (1),0,14:01:55.9053000,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:55.9054110,1.389714,-0.6569576,2.955283,29.78601,25.81082,19.26267,ShapeSortingCube 
Square (1),0,14:01:56.0206740,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:56.0207410,1.38984,-0.6571479,2.956341,28.89118,25.3406,19.09283,ShapeSortingCube 
Square (1),0,14:01:56.1331350,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:56.1332180,1.389238,-0.656953,2.954584,29.91476,25.98808,19.36856,ShapeSortingCube 
Square (1),0,14:01:56.2594740,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:56.2595600,1.389436,-0.6573452,2.955339,29.8236,25.48836,19.16094,ShapeSortingCube 
Square (1),0,14:01:56.3729370,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:56.3730190,1.390142,-0.6576516,2.957263,29.39077,24.44561,18.97514,ShapeSortingCube 
Square (1),0,14:01:56.5020630,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:56.5021540,1.390931,-0.6578838,2.958915,28.89703,23.45408,18.44016,ShapeSortingCube 
Square (1),0,14:01:56.6135140,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:56.6136000,1.391388,-0.6587365,2.961211,27.63731,21.73412,17.37127,ShapeSortingCube 
Square (1),0,14:01:56.7460230,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:56.7460980,1.384395,-0.6638243,2.93972,31.94805,28.66941,14.9147,ShapeSortingCube 
Square (1),0,14:01:56.8570680,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:56.8571620,1.401043,-0.6790785,3.033433,0.1238548,357.9616,2.976995,ShapeSortingCube 
Square (1),0,14:01:56.9814630,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:56.9815300,1.401423,-0.6552706,3.060899,334.6611,348.977,1.341008,ShapeSortingCube 
Square (1),0,14:01:57.0947070,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:57.0947820,1.403667,-0.6556447,3.062438,334.1205,350.3253,1.304373,ShapeSortingCube 
Square (1),0,14:01:57.2260090,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:57.2261000,1.408305,-0.6621649,3.055592,336.0532,353.1263,0.514265,ShapeSortingCube 
Square (1),0,14:01:57.3380270,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:57.3381650,1.408496,-0.6519048,3.043766,349.6107,356.7047,5.42714,ShapeSortingCube 
Square (1),0,14:01:57.4687690,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:57.4688450,1.350802,-0.5559418,2.903378,22.41556,31.52775,17.80683,ShapeSortingCube 
Square (1),0,14:01:57.5810740,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:57.5811470,1.363607,-0.5327647,2.952775,55.41377,73.79298,57.90246,ShapeSortingCube 
Square (1),0,14:01:57.6923190,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:57.6924100,1.347748,-0.527425,2.947492,59.42674,142.9904,121.4418,ShapeSortingCube 
Square (1),0,14:01:57.8235220,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:57.8236020,1.343444,-0.5256607,2.958717,54.5805,142.2343,118.2742,ShapeSortingCube 
Square (1),0,14:01:57.9339410,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:57.9340580,1.334241,-0.5171648,2.979254,41.49321,157.0044,123.3042,ShapeSortingCube 
Square (1),0,14:01:58.0612320,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:58.0613280,1.325753,-0.5131224,2.990537,35.8448,163.6944,122.7976,ShapeSortingCube 
Square (1),0,14:01:58.1783580,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:58.1784760,1.339177,-0.5263008,2.978512,47.42459,147.1534,115.6066,ShapeSortingCube 
Square (1),0,14:01:58.3063220,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:58.3064050,1.357986,-0.528058,2.947829,56.13932,69.41914,60.39913,ShapeSortingCube 
Square (1),0,14:01:58.4188740,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:58.4189500,1.388485,-0.548358,2.991617,32.61468,32.43081,32.7787,ShapeSortingCube 
Square (1),0,14:01:58.5489310,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:58.5490070,1.399794,-0.5448349,3.03944,3.143192,5.249566,25.69292,ShapeSortingCube 
Square (1),0,14:01:58.6661860,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:58.6662640,1.398193,-0.5558518,3.02321,5.113858,8.928025,20.85498,ShapeSortingCube 
Square (1),0,14:01:58.7711180,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:58.7712020,1.396541,-0.5657715,3.028235,7.982611,5.892029,19.61043,ShapeSortingCube 
Square (1),0,14:01:58.9043560,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:58.9044510,1.394249,-0.5800726,3.025681,10.73777,5.942683,15.58278,ShapeSortingCube 
Square (1),0,14:01:59.0209220,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:59.0210000,1.393244,-0.5835924,3.032963,8.725276,2.728873,14.6287,ShapeSortingCube 
Square (1),0,14:01:59.1328290,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:59.1329160,1.391916,-0.5859969,3.05724,3.505291,354.0535,13.72401,ShapeSortingCube 
Square (1),0,14:01:59.2593000,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:59.2594180,1.391267,-0.5905296,3.066596,2.540053,352.3198,12.12547,ShapeSortingCube 
Square (1),0,14:01:59.3892490,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:59.3893450,1.389607,-0.5909412,3.070671,358.897,352.093,11.21365,ShapeSortingCube 
Square (1),0,14:01:59.4957990,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:59.4958930,1.387899,-0.5910354,3.071641,359.0165,351.8432,11.14813,ShapeSortingCube 
Square (1),0,14:01:59.6213430,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:59.6214270,1.380481,-0.6335036,3.053289,357.7983,351.2769,15.13723,ShapeSortingCube 
Square (1),0,14:01:59.7320500,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:59.7321500,1.376481,-0.782423,3.048066,356.4148,350.9295,16.09479,ShapeSortingCube 
Square (1),0,14:01:59.8639250,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
ShapeSortingCube ,0,14:01:59.8640270,1.39712,-0.7961856,3.057306,0.009210804,350.9564,2.205918,ShapeSortingCube 
Square (1),0,14:01:59.9747380,1.413486,-0.8565564,2.83254,0.1273759,59.52647,0.6096717,Square (1)
