Bone,Time,XPos,YPos,ZPos,XRot,YRot,ZRot
Right Controller,12:08:30.6578010,1.095252,-0.7853678,2.78579,355.065,96.63149,353.9261
Left Controller,12:08:30.6613980,1.091338,-0.8098227,3.080796,7.665786,86.14304,5.78473
Right Controller,12:08:30.6615090,1.095178,-0.7852876,2.785826,355.023,96.6229,353.937
Left Controller,12:08:30.6713580,1.091338,-0.8098227,3.080796,7.665786,86.14304,5.78473
Right Controller,12:08:30.6714270,1.095178,-0.7852876,2.785826,355.023,96.6229,353.937
Left Controller,12:08:30.6754230,1.091348,-0.8098843,3.080889,7.696461,86.14886,5.830412
Right Controller,12:08:30.6755550,1.095109,-0.7852125,2.785851,354.9806,96.62923,353.9578
Left Controller,12:08:30.6852450,1.091348,-0.8098843,3.080889,7.696461,86.14886,5.830412
Right Controller,12:08:30.6853180,1.095109,-0.7852125,2.785851,354.9806,96.62923,353.9578
Left Controller,12:08:30.6898530,1.091363,-0.8099675,3.081012,7.744407,86.15725,5.902783
Right Controller,12:08:30.6899510,1.095044,-0.7851458,2.785879,354.9408,96.6367,353.982
Left Controller,12:08:30.6989240,1.091363,-0.8099675,3.081012,7.744407,86.15725,5.902783
Right Controller,12:08:30.6989990,1.095044,-0.7851458,2.785879,354.9408,96.6367,353.982
Left Controller,12:08:30.7029420,1.091392,-0.8100861,3.081126,7.808981,86.17173,5.98273
Right Controller,12:08:30.7030740,1.094992,-0.7851028,2.78591,354.9135,96.64531,354.0063
Left Controller,12:08:30.7124060,1.091392,-0.8100861,3.081126,7.808981,86.17173,5.98273
Right Controller,12:08:30.7124770,1.094992,-0.7851028,2.78591,354.9135,96.64531,354.0063
Left Controller,12:08:30.7178300,1.091445,-0.8101429,3.081178,7.842329,86.18696,6.024324
Right Controller,12:08:30.7179310,1.094942,-0.7850636,2.785941,354.8909,96.64784,354.0184
Left Controller,12:08:30.7258650,1.091445,-0.8101429,3.081178,7.842329,86.18696,6.024324
Right Controller,12:08:30.7259410,1.094942,-0.7850636,2.785941,354.8909,96.64784,354.0184
Left Controller,12:08:30.7303260,1.09147,-0.8102264,3.081219,7.867688,86.19073,6.030472
Right Controller,12:08:30.7304790,1.094772,-0.7849243,2.78595,354.8015,96.63971,353.9741
Left Controller,12:08:30.7395500,1.09147,-0.8102264,3.081219,7.867688,86.19073,6.030472
Right Controller,12:08:30.7396210,1.094772,-0.7849243,2.78595,354.8015,96.63971,353.9741
Left Controller,12:08:30.7436110,1.091507,-0.810347,3.081277,7.917864,86.17487,6.020615
Right Controller,12:08:30.7437200,1.094359,-0.7844063,2.785998,354.5456,96.59961,353.8958
Left Controller,12:08:30.7532910,1.091507,-0.810347,3.081277,7.917864,86.17487,6.020615
Right Controller,12:08:30.7533740,1.094359,-0.7844063,2.785998,354.5456,96.59961,353.8958
Left Controller,12:08:30.7574570,1.09154,-0.810475,3.081316,7.974507,86.17126,6.01745
Right Controller,12:08:30.7575540,1.093901,-0.7838231,2.786128,354.2314,96.53732,353.8784
Left Controller,12:08:30.7672050,1.09154,-0.810475,3.081316,7.974507,86.17126,6.01745
Right Controller,12:08:30.7673080,1.093901,-0.7838231,2.786128,354.2314,96.53732,353.8784
Left Controller,12:08:30.7721390,1.091565,-0.8106494,3.081326,8.055126,86.19334,6.026224
Right Controller,12:08:30.7722730,1.093128,-0.7827722,2.786494,353.6341,96.37166,353.9001
Left Controller,12:08:30.7849420,1.091565,-0.8106494,3.081326,8.055126,86.19334,6.026224
Right Controller,12:08:30.7850340,1.093128,-0.7827722,2.786494,353.6341,96.37166,353.9001
Left Controller,12:08:30.7894820,1.091566,-0.8107851,3.081301,8.134817,86.24962,6.07789
Right Controller,12:08:30.7895770,1.092492,-0.7820845,2.786976,353.1852,96.14503,353.9191
Left Controller,12:08:30.7988610,1.091566,-0.8107851,3.081301,8.134817,86.24962,6.07789
Right Controller,12:08:30.7989570,1.092492,-0.7820845,2.786976,353.1852,96.14503,353.9191
Left Controller,12:08:30.8035100,1.091569,-0.8108636,3.081294,8.192045,86.28994,6.129751
Right Controller,12:08:30.8036160,1.092149,-0.7817172,2.78729,352.9448,96.01472,353.9222
Left Controller,12:08:30.8129950,1.091569,-0.8108636,3.081294,8.192045,86.28994,6.129751
Right Controller,12:08:30.8130670,1.092149,-0.7817172,2.78729,352.9448,96.01472,353.9222
Left Controller,12:08:30.8184630,1.091578,-0.8109505,3.081255,8.238933,86.34718,6.177453
Right Controller,12:08:30.8185560,1.091745,-0.7812642,2.787634,352.6631,95.91331,354.0301
Left Controller,12:08:30.8273980,1.091578,-0.8109505,3.081255,8.238933,86.34718,6.177453
Right Controller,12:08:30.8274730,1.091745,-0.7812642,2.787634,352.6631,95.91331,354.0301
Left Controller,12:08:30.8326260,1.091593,-0.8110788,3.081188,8.294576,86.40907,6.194346
Right Controller,12:08:30.8327480,1.091282,-0.7807224,2.787988,352.3249,95.80127,354.1519
Left Controller,12:08:30.8436190,1.091593,-0.8110788,3.081188,8.294576,86.40907,6.194346
Right Controller,12:08:30.8436920,1.091282,-0.7807224,2.787988,352.3249,95.80127,354.1519
Left Controller,12:08:30.8476710,1.091634,-0.8112097,3.081169,8.353235,86.47303,6.233639
Right Controller,12:08:30.8477680,1.090457,-0.7797899,2.7886,351.7144,95.54209,354.2394
Left Controller,12:08:30.8580270,1.091634,-0.8112097,3.081169,8.353235,86.47303,6.233639
Right Controller,12:08:30.8581070,1.090457,-0.7797899,2.7886,351.7144,95.54209,354.2394
Left Controller,12:08:30.8617140,1.091652,-0.811228,3.081244,8.378889,86.51078,6.323094
Right Controller,12:08:30.8618020,1.090074,-0.7793751,2.788999,351.4343,95.37825,354.2383
Left Controller,12:08:30.8735320,1.091652,-0.811228,3.081244,8.378889,86.51078,6.323094
Right Controller,12:08:30.8736010,1.090074,-0.7793751,2.788999,351.4343,95.37825,354.2383
Left Controller,12:08:30.8787660,1.091578,-0.8112291,3.081238,8.443295,86.77513,6.69369
Right Controller,12:08:30.8788920,1.089851,-0.7792277,2.789423,351.2904,95.23875,354.3282
Left Controller,12:08:30.8880120,1.091578,-0.8112291,3.081238,8.443295,86.77513,6.69369
Right Controller,12:08:30.8880840,1.089851,-0.7792277,2.789423,351.2904,95.23875,354.3282
Left Controller,12:08:30.8921390,1.091328,-0.8110659,3.081185,8.442555,87.06202,7.038954
Right Controller,12:08:30.8922350,1.089701,-0.7791389,2.789741,351.1967,95.10629,354.4097
Left Controller,12:08:30.9028860,1.091328,-0.8110659,3.081185,8.442555,87.06202,7.038954
Right Controller,12:08:30.9029650,1.089701,-0.7791389,2.789741,351.1967,95.10629,354.4097
Left Controller,12:08:30.9049290,1.091046,-0.8109072,3.080976,8.414109,87.49288,7.531836
Right Controller,12:08:30.9050200,1.089544,-0.7790514,2.789957,351.1255,94.9832,354.4362
Left Controller,12:08:30.9179830,1.091046,-0.8109072,3.080976,8.414109,87.49288,7.531836
Right Controller,12:08:30.9180500,1.089544,-0.7790514,2.789957,351.1255,94.9832,354.4362
Left Controller,12:08:30.9204020,1.090536,-0.8106214,3.079985,8.38541,88.55526,8.472517
Right Controller,12:08:30.9204960,1.089468,-0.7789752,2.790037,351.093,94.88347,354.3704
Left Controller,12:08:30.9312670,1.090536,-0.8106214,3.079985,8.38541,88.55526,8.472517
